CountryID,Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,TariffRate%,IncomeTaxRate%,CorporateTaxRate%,TaxBurden%ofGDP,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,5YGDPGRate%,GDPcapita,Unemp%,Inflation%,FDIInflowM,PublicDebt%ofGDP
26,Burundi,Sub-Saharan Africa,141,31,51.4,2.4,20,0,15.9,-3.1,73.5,2,51.9,29.3,59.8,1.4,63.1,-3.3,68.2,-0.5,71.8,-7.1,60,5,30,0,6.6,35,35,14.3,40,8.8,5.50 ,4,4.1,625.00 ,N/A,11.8,0.6,32
27,Cambodia,Asia-Pacific,108,23,57.4,-1.1,30,0,18.7,-2.3,90.8,-0.1,88.4,0,36.6,-2.8,50.2,-4,77.9,-3.4,71,0.8,60,0,50,0,9.5,20,20,10.9,19.6,15.3,36.60 ,6.5,5.2,2402.00 ,0,2.9,"1,557.10",28.5
28,Cameroon,Sub-Saharan Africa,136,29,52.6,0.3,30,0,21.9,-3.1,71.7,2.4,86,-1.1,45,-1.8,56.1,0.6,69.4,-0.5,61.2,6.3,35,0,50,0,11.9,35,38.5,11,21.6,21.5,50.80 ,4.7,3.5,2366.00 ,30,3,507,14.9
29,Canada,North America,6,1,80.2,0.8,90,0,87.7,0.7,79.7,-0.1,47.3,2.5,89.3,-2.4,83.1,0.8,76.3,1.1,88.3,0.1,80,5,80,0,0.9,29,15,31,41.9,34.8,1488.30 ,1.8,1.2,42734.00 ,7.3,1.5,"45,374.80",85.6
30,CapeVerde,Sub-Saharan Africa,60,3,66.1,2.4,70,0,54.9,-0.1,77.4,-0.5,68.6,3.2,63.8,4.9,48,7.7,79.1,1.1,69.6,2.7,70,5,60,0,10.2,35,25,20.2,32.3,0.5,2.20 ,4.3,4.9,4133.00 ,10,2.5,70.9,103.4
31,CentralAfricanRepublic,Sub-Saharan Africa,161,40,46.7,-3.7,10,-10,20.6,-1.4,65.1,0,92.6,0.2,33.9,-1.3,40.4,-7.5,72.5,-5.6,51.8,-6,50,-5,30,0,16.6,50,30,9.4,15.7,4.9,3.90 ,4.1,2.8,800.00 ,8,5.2,71.2,30.6
32,Chad,Sub-Saharan Africa,167,41,44.5,-0.7,20,0,15.9,-4.1,46.2,-4.2,80,4.5,24.9,-0.3,43.3,2.8,69.8,-4.8,55.2,-0.4,50,0,40,0,14.9,60,45,5.1,25.8,10.7,20.70 ,5,3.7,1924.00 ,N/A,7.7,323.5,34.5
33,Chile,South and Central America / Caribbean,7,1,78.7,-0.3,90,0,72.3,0.3,76.5,-1.1,83.8,0.1,69.3,-1.2,69.3,-4.9,84.1,-0.5,82,0,90,5,70,0,4,40,20,18.7,23.2,17.4,320.50 ,5.5,3.8,18419.00 ,6.5,3,"30,323",11.2
34,China,Asia-Pacific,137,29,52.5,0.6,20,0,35,-1,69.9,-0.3,82.9,-0.4,49.7,1.7,61.9,-0.7,73.3,1.7,71.8,-0.2,30,5,30,0,4.1,45,25,19,23.9,"1,354",12405.70 ,7.8,9.3,9162.00 ,4.1,2.7,"121,080",22.8
35,Colombia,South and Central America / Caribbean,34,3,70.7,1.1,50,0,33.2,-0.8,80.6,4.5,74.9,-0.3,85.2,-5,80.5,1.2,78.8,0.1,78.8,6.6,75,5,70,0,5.6,33,25,15.1,28.9,46.6,502.90 ,4,4,10792.00 ,10.4,3.2,"15,822.90",32.8
36,Comoros,Sub-Saharan Africa,142,32,51.4,3.9,30,0,22.1,-1.9,64.5,-0.2,85.3,2.9,49.4,4.7,50.1,-1.1,74.5,-0.1,72.7,3.9,35,20,30,10,6.2,30,50,12.4,22.1,0.7,0.90 ,2.5,1.9,1258.00 ,20,6,17,42.6
37,DemcoraticRepublicCongo,Sub-Saharan Africa,172,44,40.6,1,10,0,17.6,-2.4,69.4,-2,74.6,14.5,30,-8.7,38.5,2.2,63,6.5,63,0,20,0,20,0,11,30,40,23.6,29.1,74.7,27.60 ,7.1,6,369.00 ,N/A,9.3,"3,312.10",36
38,RepublicCongo,Sub-Saharan Africa,169,43,43.7,0.2,10,0,20.6,-1.4,67.5,6.1,79.6,-0.7,35.1,3.6,47,2.2,72,-2.3,55.6,-5.1,20,0,30,0,14.7,45,34,8.4,26.1,4.1,19.10 ,3.8,5.8,4667.00 ,53,5,"2,757.90",21.1
39,CostaRica,South and Central America / Caribbean,53,9,66.9,-0.1,50,0,50.9,2.9,80,-2.9,90,-0.1,64.9,6.6,53.3,-7.1,76.3,0.9,83.8,-1.3,70,0,50,0,3.1,25,30,21.9,18.2,4.7,58.80 ,5,3.1,12606.00 ,7.5,4.5,"2,265.40",34.8
40,CoeDivoire,Sub-Saharan Africa,107,16,57.7,3.6,30,5,22.1,0.1,79.1,1.2,79.8,0,55.1,11.8,59,4.4,80.6,2.8,71.4,1.1,50,10,50,0,6.8,36,25,13.1,25.9,23.4,40.30 ,9.8,2.6,1727.00 ,N/A,1.3,478.4,49.1
41,Croatia,Europe,87,36,60.4,-0.9,40,0,41.1,1.1,69.4,-6,45.8,-2.9,61.4,-1.6,39.4,-3,79.2,-1.9,87.4,-0.1,80,5,60,0,1.3,40,20,32.6,42.5,4.4,78.40 ,-2,-1.9,17810.00 ,15,3.4,"1,250.60",56.3
42,Cuba,South and Central America / Caribbean,177,29,28.7,0.2,10,0,41.2,-0.8,60,-2.7,0,0,20,10,20,0,65.8,-1.6,60,-2.7,0,0,10,0,10,50,30,24.4,66.7,N/A,N/A,N/A,N/A,N/A,3.8,N/A,N/A,35.3
43,Cyprus,Europe,46,21,67.6,-1.4,70,0,64,1,79.7,-0.1,36.2,3.5,79.7,-1,70.2,7.4,78.8,-5.3,82.8,1,65,-10,50,-10,1.1,35,10,26.5,46.1,0.9,23.60 ,-2.4,0.2,27086.00 ,12.1,3.1,848.6,86.2
44,CzechRepublic,Europe,26,15,72.2,1.3,70,0,45.3,1.3,81.7,-0.3,43.8,0.3,70.1,4.3,84,-1.5,79.4,-2.3,87.8,1,80,10,80,0,1.1,15,19,35.3,43.3,10.6,287.00 ,-1.2,0.3,27191.00 ,7,3.3,"10,592.50",43.1
45,Denmark,Europe,10,3,76.1,0,90,0,93.7,-0.3,39.3,-0.5,0.5,-5.4,98.1,-0.3,91.2,0.1,80,0,87.8,1,90,5,90,0,1.1,56,25,48.1,57.6,5.6,210.10 ,-0.6,-0.9,37657.00 ,7.6,2.4,"2,883",50.1
46,Djibouti,Sub-Saharan Africa,118,20,55.9,2,30,0,30.9,0.9,80.6,1.2,62.8,14,42.7,12.7,65.1,5.5,77.2,0.6,54.8,-4.8,65,0,50,-10,17.6,30,25,20.3,35.2,0.9,2.40 ,4.8,4.7,2677.00 ,59,3.7,100,38.6
47,Dominica,South and Central America / Caribbean,63,12,65.2,1.3,60,0,53.5,1.5,72.9,0.9,61.7,11.6,75,-2,70.7,1.9,85.8,0.5,72.7,-1.6,70,0,30,0,8.6,35,30,24.2,35.7,0.1,1.00 ,0.4,2,14166.00 ,23,2.3,19.7,72.2
48,DominicanRepublic,South and Central America / Caribbean,80,16,61.3,1.6,30,0,27.3,1.3,83.7,0,92.3,-0.3,56.1,2.4,55.2,-0.4,75.7,2.8,77.8,0,75,10,40,0,6.1,25,29,12.9,16.1,10.2,98.70 ,3.9,5,9646.00 ,13,3.7,"3,609.60",33.5
49,Ecuador,South and Central America / Caribbean,159,26,48,1.1,20,0,26,-1,79.8,-0.3,41.8,-5.5,52.8,1.3,52,4,66.1,-0.8,71.8,3.7,30,10,40,0,4.1,35,22,17.6,44,15.2,153.20 ,5,4.7,10056.00 ,5.3,5.1,586.5,18.6
50,Egypt,Middle East / North Africa,135,13,52.9,-1.9,20,-15,28.6,-0.4,85.6,0,69.6,0.2,62.7,-0.6,45.7,2.4,60.5,2.1,71.4,-2.4,45,-5,40,0,9.3,25,25,13.8,31.8,82.5,540.00 ,2.2,4.2,6545.00 ,12.3,8.6,"2,797.70",80.2
51,ElSalvador,South and Central America / Caribbean,59,11,66.2,-0.5,40,0,34.3,0.3,79.6,-6.1,85.8,0.4,59.6,-2.2,63.3,1.3,80,0.4,79,0,70,0,70,0,5.5,30,30,15.4,21.7,6.2,46.30 ,1.6,0.6,7438.00 ,5.7,1.7,515.8,52.2
52,EquatorialGuinea,Sub-Saharan Africa,168,42,44.4,2.1,10,-5,16.6,-2.4,75.5,0.1,62.6,23.3,43.4,-1,41.5,-1.6,75.4,2.6,53.8,-5,35,10,30,0,15.6,35,35,1.5,35.3,0.7,19.30 ,2,2.7,25929.00 ,22.3,5.5,"2,115.10",8.2
53,Eritrea,Sub-Saharan Africa,174,45,38.5,2.2,10,0,22.9,-2.1,57,0,66.1,11.5,18.6,1.3,63.6,9,57.6,2.1,69.1,0,0,0,20,0,5.4,30,30,50,33.6,5.7,4.40 ,7,2.2,777.00 ,N/A,12.3,73.7,125.8
54,Estonia,Europe,11,4,75.9,0.6,90,5,64.2,0.2,80.4,0.7,56,-0.2,77.6,-0.6,55.9,-0.1,76.9,-0.2,87.8,1,90,0,80,0,1.1,21,21,32.8,38.3,1.3,29.10 ,3.2,-1,21713.00 ,9.8,4.2,"1,470.40",8.5
55,Ethiopia,Sub-Saharan Africa,151,35,50,0.6,30,0,27,0,77.5,3.3,89.9,0.3,57.8,5.4,54.7,7.8,59,-5.7,64.2,0.2,20,-5,20,0,10.4,35,30,11.3,18.4,86.8,103.30 ,7,8.7,1191.00 ,N/A,22.8,970.4,21.6
56,Fiji,Asia-Pacific,99,20,58.7,1.5,25,0,20,0,82.3,4.3,76.2,-1.8,64.9,-0.8,73.1,-1.8,75.2,2.4,70.2,2.2,50,10,50,0,9.9,29,20,23,28.2,0.9,4.30 ,2.1,0.8,4786.00 ,7,4.3,267.9,51.6
57,Finland,Europe,19,9,73.4,-0.6,90,0,93.4,-0.6,65.1,-1.8,8.9,-3.3,93.6,-1.2,46.5,1.2,78.9,-0.6,87.8,1,90,0,80,0,1.1,31.8,24.5,43.4,55.1,5.4,197.50 ,-0.2,-0.6,36395.00 ,7.7,3.2,"-1,805.60",53.3
58,France,Europe,70,33,63.5,-0.6,80,0,69.9,-0.1,48.4,-4.6,5.6,0,79.9,-4.1,51.8,1.3,76.1,-5,82.8,1,70,5,70,0,1.1,45,34.3,44.2,56.1,63.4,2254.10 ,0,0,35548.00 ,10.2,2,"25,093.30",90.3
59,Gabon,Sub-Saharan Africa,105,14,57.8,0,40,0,29.1,-0.9,74.5,0.3,81.7,1.6,58.9,2.4,63,-0.1,75.1,-2.4,61,-0.1,55,0,40,0,14.5,35,35,10.1,24.7,1.5,25.50 ,6.2,3.6,16548.00 ,21,3,702.4,22
60,Gambia,Sub-Saharan Africa,92,11,59.5,0.7,30,0,31.7,-3.3,79,3.9,79.8,-2.9,57.4,-2.1,65.8,6.5,71.3,0.2,65,4.5,65,0,50,0,12.5,30,32,13.2,26,1.8,3.40 ,3.9,3.6,1864.00 ,N/A,4.6,78.8,77.2
61,Georgia,Europe,22,12,72.6,0.4,40,-5,42.8,1.8,87.3,-0.9,69.7,0.8,87.8,-2.8,91.2,0.1,78.4,5.8,88.6,-0.6,80,5,60,0,0.7,20,15,25.4,31.8,4.5,26.70 ,6.5,3.6,5930.00 ,14.6,-0.9,866.1,32.7
62,Germany,Europe,18,8,73.4,0.6,90,0,80.1,0.1,61.2,-0.6,38.2,0.9,89.9,-2.2,46.4,2.6,80.8,-0.4,87.8,1,90,5,70,0,1.1,47.5,15.8,37.1,45.4,81.9,3197.10 ,0.9,0.7,39028.00 ,5.5,2.1,"6,564.50",82
63,Ghana,Sub-Saharan Africa,66,5,64.2,2.9,50,0,40.4,1.4,85.4,-0.6,83.3,30.8,62.6,1.1,60.2,-1.4,65.8,1,64.8,-3,70,0,60,0,10.1,25,25,14.6,23.6,24.9,82.40 ,7,8.3,3305.00 ,11,9.2,"3,294.50",56.5
64,Greece,Europe,119,40,55.7,0.3,40,0,33.2,-0.8,65.9,-0.3,19.2,-5.5,75.8,-1.3,53.9,11.8,76.3,2.9,82.8,1,60,-5,50,0,1.1,42,26,31.2,51.9,11.3,276.90 ,-6.4,-4.4,24505.00 ,24.2,1,"2,944.90",158.5
65,Guatemala,South and Central America / Caribbean,83,17,61.2,1.2,25,-5,28.7,1.7,79.6,0,93.6,0,58.4,7.6,49.3,0.6,76.7,1.2,85.4,0.2,65,5,50,0,2.3,31,31,10.9,14.6,15.1,78.70 ,3,2.8,5209.00 ,4.1,3.8,"1,206.60",25.1
66,Guinea,Sub-Saharan Africa,133,27,53.5,2.3,20,0,19.2,-1.8,69.3,-0.3,86.2,3.6,51.8,5.7,73.4,9.6,64.1,1.3,61.2,0,50,5,40,0,11.9,40,35,15.6,21.5,10.9,12.20 ,3.9,2.9,1121.00 ,N/A,15.2,743.8,43
67,GuineaBissau,Sub-Saharan Africa,143,33,51.3,0.2,20,0,20.2,-1.8,89,-0.1,86.6,4.6,40.5,-0.8,61.4,7.4,74.4,1.7,61.4,-3.9,30,-5,30,0,11.8,20,25,8.6,21.2,1.6,1.90 ,-1.5,2.7,1223.00 ,N/A,2.2,16.2,59.8
68,Guyana,South and Central America / Caribbean,121,22,55.7,1.9,30,0,24.4,-0.6,68.4,0.5,71.8,10.7,64.3,-2,72.6,-2.8,78.1,2.2,72,0.8,45,10,30,0,6.5,33.3,40,21.2,30.6,0.8,6.20 ,3.3,3.7,7939.00 ,11,3,230.9,60.3
69,Haiti,South and Central America / Caribbean,156,24,48.9,0.8,10,0,16.9,-1.1,80.3,-0.4,66.3,0,33.3,-0.1,68.5,4.9,73.6,-0.6,70.4,-4.4,40,10,30,0,7.3,30,30,13.1,33.5,10.4,12.90 ,2.8,1.3,1243.00 ,40.6,6.8,178.8,15.4
70,Honduras,South and Central America / Caribbean,112,19,57.1,-1.3,30,0,23.7,-2.3,84.9,-0.4,79.8,0.6,55.4,-5.6,26.5,-0.3,75.1,1.2,75.4,-1.7,60,-5,60,0,7.3,25,25,16.1,25.9,8.2,37.80 ,3.3,2.5,4610.00 ,4.4,5.2,"1,058.50",34.7
71,HongKong,Asia-Pacific,1,1,90.1,0.8,90,0,82.3,-1.7,93,0.1,89.7,0.8,98.9,0,95.5,9.3,82,-0.1,90,0,90,0,90,0,0,15,16.5,14.2,18.5,7.2,369.40 ,1.4,2.5,51494.00 ,3.3,4.1,"74,584.20",32.4
72,Hungary,Europe,51,24,67,-0.3,60,-5,48.6,2.6,81.1,1.4,26.8,-2.9,79.3,0.2,65.7,1.3,75.6,-1.5,87.8,1,75,0,70,0,1.1,16,19,35.7,49.4,10,195.60 ,-1.7,-1,19638.00 ,11,5.7,"13,469",79
73,Iceland,Europe,23,13,72.4,0.3,90,0,84.2,1.2,72.9,0.2,32.9,-3.3,91.2,-0.3,59.1,0.2,76,0.2,87.9,0.1,70,5,60,0,1,31.8,20,36,47.3,0.3,12.80 ,1.6,-1.1,39224.00 ,5.8,5.2,510.7,99.1
74,India,Asia-Pacific,120,25,55.7,0.5,50,0,31.5,0.5,79.4,1.1,77.8,-0.1,37.7,0.4,74,0.4,65.5,0.2,65.6,2,35,0,40,0,7.2,30.9,32.4,7,27.2,"1,223.20",4684.40 ,4,6.8,3830.00 ,8.5,9.3,"25,542.80",66.8
75,Indonesia,Asia-Pacific,100,21,58.5,1.6,30,0,28,-2,83.4,0,89.8,0.6,54.8,4.6,47.8,-3,76.4,0.9,74.8,-0.2,40,5,60,10,2.6,30,25,11.8,18.5,244.5,1216.70 ,6.2,5.9,4977.00 ,6.2,4.3,"19,852.60",24
76,Iran,Middle East / North Africa,173,15,40.3,-2.9,10,0,23.4,-3.6,80.6,-0.2,85.9,5.4,62.3,-3,41.7,-13.3,47.3,-10.7,41.4,-4.3,0,0,10,0,21.8,35,25,9.3,21.7,76.1,999.20 ,-1.9,2.3,13127.00 ,12.5,30.6,"4,869.90",10.7
77,Iraq,Middle East / North Africa,N/A,N/A,N/A,N/A,N/A,N/A,13.7,-4.3,95.5,N/A,40.3,N/A,56.9,9.9,73.4,3.3,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,15,1.9,44.6,33.7,238.60 ,8.4,7.1,7080.00 ,16,6.1,"2,549",34.2
78,Ireland,Europe,9,2,76.2,0.5,90,0,74.8,-0.2,74,0.2,30.6,1.8,83.4,0,79.5,2.9,81.7,-1.1,87.8,1,90,0,70,0,1.1,41,12.5,27.6,48.1,4.6,192.20 ,0.9,-1.2,41921.00 ,14.7,1.9,"29,318",117.1
79,Israel,Middle East / North Africa,44,5,68.4,1.5,75,5,59.3,1.3,60.1,-0.1,40.3,1,73.2,7.1,63,-0.7,80.6,2,82.9,-0.1,80,0,70,0,3.5,48,25,32.6,44.6,7.7,248.70 ,3.1,3.6,32312.00 ,6.9,1.7,"10,414.10",74.6
80,Italy,Europe,86,35,60.9,0.3,50,0,38.5,-0.5,55.5,0,25.6,0.3,75.5,-1.4,52.5,0.5,78.9,-1.3,87.8,1,85,5,60,0,1.1,43,27.5,42.9,49.8,60.8,1832.90 ,-2.4,-1.4,30136.00 ,10.6,3.3,"9,624.90",127
81,Jamaica,South and Central America / Caribbean,56,10,66.7,-0.1,40,0,33,0,77.2,-0.3,69.4,1.7,84.6,0.3,75.6,6.3,77.3,1.2,75.1,0.1,85,0,50,-10,7.5,25,33.3,23.4,31.9,2.8,25.20 ,0.1,-0.8,9159.00 ,13,7.3,362.2,146.6
82,Japan,Asia-Pacific,25,6,72.4,0.6,80,0,77.8,-2.2,69.2,0,47.1,2.1,80,-1.3,79.8,-0.5,87.5,-3.1,82.4,0.6,70,10,50,0,1.3,40.8,25.5,27.6,42,127.6,4627.90 ,2,-0.2,36266.00 ,4.4,0,"1,730.80",237.9
83,Jordan,Middle East / North Africa,39,4,69.2,-1.2,60,0,45.6,0.6,94,0.4,66.9,-1.9,62,-7.2,72.9,-2.6,81.3,-0.7,79.6,0,70,0,60,0,5.2,14,14,14.4,33.2,6.4,38.70 ,2.8,4.1,6042.00 ,12.2,4.8,"1,403",79.6
84,Kazakhstan,Asia-Pacific,67,11,63.7,0.7,30,-5,25.7,-1.3,92.9,-0.3,85,0.5,74.4,2.6,86.7,-1.7,74.4,2.2,78.2,0,40,10,50,0,3.4,10,20,14.6,22.3,16.7,231.80 ,5,4.8,13893.00 ,5.4,5.1,"14,022.10",12.3
85,Kenya,Sub-Saharan Africa,111,17,57.1,1.2,30,0,21,-1,78,0.5,74.6,1.1,55.8,-2.2,64,6.9,74.9,1.1,72.8,6.1,50,0,50,0,6.1,30,30,20.1,29.1,42.1,75.90 ,4.7,3.8,1802.00 ,40,9.4,258.6,48.2
86,Kiribati,Asia-Pacific,164,38,46.3,0.4,30,0,29.2,-1.8,71.4,0.2,0,0,57,-2.2,83.6,5.1,81.3,2.9,55.4,0,25,0,30,0,17.3,35,35,20.2,91.8,0.1,0.60 ,2.5,0.3,5973.00 ,2,2,-1.7,N/A
